,move_tempo,intensity
0,A-PRESS - 1/1,50
1,A-PRESS - 1/1/2,50
2,A-PRESS - 2/2,50
3,A-PRESS - 3/1,50
4,A-PRESS - 4/4,50
5,A-PRESS - PULSE,50
6,ARNOLD PRESS - 1/1,50
7,ARNOLD PRESS - 2/2,50
8,BACK STEPPING LUNGE - 1/1,50
9,BACK STEPPING LUNGE - 2/2,50
10,BACK STEPPING LUNGE - 4/4,50
11,BACK STEPPING LUNGE - PULSE,50
12,BICEPS BARBELL CURL - 1/1,50
13,BICEPS BARBELL CURL - 1/1/2,50
14,BICEPS BARBELL CURL - 2/2,50
15,BICEPS BARBELL CURL - 3/1,50
16,BICEPS BARBELL CURL - 4/4,50
17,BICEPS MID RANGE CURL - 1/1/2,50
18,BICEPS MID RANGE CURL - PULSE,50
19,BICEPS PLATE CURL - 1/1,50
20,BICEPS PLATE CURL - 1/1/2,50
21,BICEPS PLATE CURL - 2/2,50
22,BICEPS PLATE CURL - 3/1,50
23,BICEPS PLATE CURL - 4/4,50
24,BICEPS PLATE ROW - 1/1,50
25,BICEPS PLATE ROW - 2/2,50
26,BICEPS PLATE ROW - 4/4,50
27,BICEPS PREACHER CURL - 1/1,50
28,BICEPS PREACHER CURL - TRIPLE,50
29,CHEST FLY - 1/1,50
30,CHEST FLY - 1/1/2,50
31,CHEST FLY - 2/2,50
32,CHEST FLY - 3/1,50
33,CHEST FLY - 4/4,50
34,CHEST FLY - HALF,50
35,CHEST FLY - PULSE,50
36,CHEST PRESS - 1/1,50
37,CHEST PRESS - 1/1/2,50
38,CHEST PRESS - 1/2/1,50
39,CHEST PRESS - 2/2,50
40,CHEST PRESS - 3/1,50
41,CHEST PRESS - 4/4,50
42,CHEST PRESS - HALF,50
43,CHEST PRESS - PULSE,50
44,CLEAN AND PRESS - 1/1,50
45,CLEAN AND PRESS - 2/2,50
46,CROSS CRAWL - 1/1,50
47,CROSS CRAWL - 2/2,50
48,CROSS CRAWL - 3/1,50
49,CROSS CRAWL - 4/4,50
50,CRUNCH - 1/1,50
51,CRUNCH - 1/1/2,50
52,CRUNCH - 1/2/1,50
53,CRUNCH - 2/2,50
54,CRUNCH - 3/1,50
55,CRUNCH - 4/4,50
56,CRUNCH - PULSE,50
57,CRUNCH PLATE LIFT - 1/1,50
58,CRUNCH PLATE LIFT - 2/2,50
59,CRUNCH PLATE LIFT - 3/1,50
60,CRUNCH PLATE LIFT - PULSE,50
61,DEADLIFT - 1/1,50
62,DEADLIFT - 1/1/2,50
63,DEADLIFT - 1/3,50
64,DEADLIFT - 2/2,50
65,DEADLIFT - 3/1,50
66,DEADLIFT - 4/4,50
67,DEADROW - 1/1,50
68,DEADROW - 2/2,50
69,DEADROW - DOUBLE,50
70,DEADROW - TRIPLE,50
71,DELTOID FLY - 1/1,50
72,DELTOID FLY - 1/1/2,50
73,DELTOID FLY - 1/3,50
74,DELTOID FLY - 2/2,50
75,DELTOID FLY - 3/1,50
76,DELTOID FLY - 4/4,50
77,DELTOID FLY - TRIPLE,50
78,FORWARD RAISE - 1/1,50
79,FORWARD RAISE - 1/1/2,50
80,FORWARD RAISE - 1/3,50
81,FORWARD RAISE - 2/2,50
82,FORWARD RAISE - 4/4,50
83,FRONT SQUAT - 1/1,50
84,FRONT SQUAT - 1/1/2,50
85,FRONT SQUAT - 2/2,50
86,FRONT SQUAT - 4/4,50
87,FRONT SQUAT - HALF,50
88,FRONT SQUAT - PULSE,50
89,HIGH PULL - 1/1,50
90,HIP BRIDGE - 1/1,50
91,HIP BRIDGE - 1/1/2,50
92,HIP BRIDGE - 2/2,50
93,HIP BRIDGE - 3/1,50
94,HIP BRIDGE - 4/4,50
95,HIP BRIDGE - PULSE,50
96,HOVER - 1/1,50
97,HOVER - 1/1/2,50
98,HOVER - 2/2,50
99,HOVER - PULSE,50
100,HOVER WITH LEG LIFT - 1/1,50
101,HOVER WITH LEG LIFT - 2/2,50
102,HOVER with ROTATON - 1/1,50
103,HOVER with ROTATON - 2/2,50
104,HOVER with ROTATON - 4/4,50
105,I-Y-T RAISE - 1/1/2,50
106,I-Y-T RAISE - 2/2,50
107,I-Y-T RAISE - 4/4,50
108,LUNGE - 1/1,50
109,LUNGE - 1/1/2,50
110,LUNGE - 1/2/1,50
111,LUNGE - 1/3,50
112,LUNGE - 2/2,50
113,LUNGE - 3/1,50
114,LUNGE - 4/4,50
115,LUNGE - PULSE,50
116,MAC RAISE - 1/1,50
