,bodypump_release_number,track_number,muscle_group,Duration,move,reps,track_title
0,105,01,WARMUP,5:21,BACK STEPPING LUNGE,8,ALL STARS
1,105,01,WARMUP,5:21,CLEAN AND PRESS,4,ALL STARS
2,105,01,WARMUP,5:21,DEADLIFT,12,ALL STARS
3,105,01,WARMUP,5:21,DEADROW,20,ALL STARS
4,105,01,WARMUP,5:21,PLATE FRONT SQUAT,16,ALL STARS
5,105,01,WARMUP,5:21,PLATE SQUAT PRESS,10,ALL STARS
6,105,01,WARMUP,5:21,UPRIGHT ROW,8,ALL STARS
7,105,02,SQUATS,5:40,SQUAT,94,DO OR DIE
8,105,03,CHEST,5:25,CHEST FLY,4,THE MAN
9,105,03,CHEST,5:25,CHEST PRESS,52,THE MAN
10,105,03,CHEST,5:25,PUSHUP,48,THE MAN
11,105,04,BACK,6:12,CLEAN AND PRESS,24,STAY FOR IT
12,105,04,BACK,6:12,DEADLIFT,12,STAY FOR IT
13,105,04,BACK,6:12,DEADROW,36,STAY FOR IT
14,105,04,BACK,6:12,PLATE SQUAT PRESS,16,STAY FOR IT
15,105,05,TRICEPS,5:34,TRICEPS DIP,11,WHAT ABOUT US
16,105,05,TRICEPS,5:34,TRICEPS OVERHEAD EXTENSION,30,WHAT ABOUT US
17,105,05,TRICEPS,5:34,TRICEPS PRESS,38,WHAT ABOUT US
18,105,06,BICEPS,4:55,BICEPS BARBELL CURL,6,CHAMPION
19,105,06,BICEPS,4:55,BICEPS MID RANGE CURL,10,CHAMPION
20,105,06,BICEPS,4:55,BICEPS PLATE CURL,32,CHAMPION
21,105,07,LUNGES,5:47,BACK STEPPING LUNGE,46,HOW DO YOU FEEL RIGHT NOW
22,105,07,LUNGES,5:47,LUNGE,44,HOW DO YOU FEEL RIGHT NOW
23,105,07,LUNGES,5:47,SQUAT,14,HOW DO YOU FEEL RIGHT NOW
24,105,08,SHOULDERS,4:49,PLATE UPRIGHT ROW,1,LEAN BACK
25,105,08,SHOULDERS,4:49,PUSHUP,38,LEAN BACK
26,105,08,SHOULDERS,4:49,REAR RAISE,7,LEAN BACK
27,105,08,SHOULDERS,4:49,SHOULDER STRICT PRESS,3,LEAN BACK
28,105,08,SHOULDERS,4:49,UPRIGHT ROW,2,LEAN BACK
29,105,09,CORE,3:09,CRUNCH,32,SWEAT
30,105,09,CORE,3:09,CRUNCH PLATE LIFT,16,SWEAT
31,105,09,CORE,3:09,HOVER,8,SWEAT
32,106,01,WARMUP,5:06,BACK STEPPING LUNGE,4,STILL THE ONE
33,106,01,WARMUP,5:06,CLEAN AND PRESS,6,STILL THE ONE
34,106,01,WARMUP,5:06,DEADLIFT,10,STILL THE ONE
35,106,01,WARMUP,5:06,DEADROW,2,STILL THE ONE
36,106,01,WARMUP,5:06,PLATE FRONT SQUAT,10,STILL THE ONE
37,106,01,WARMUP,5:06,PLATE SQUAT PRESS,6,STILL THE ONE
38,106,01,WARMUP,5:06,SQUAT,20,STILL THE ONE
39,106,01,WARMUP,5:06,UPRIGHT ROW,4,STILL THE ONE
40,106,01,WARMUP,5:06,WIDE DEADROW,16,STILL THE ONE
41,106,02,SQUATS,5:21,SQUAT,122,I AM HERE
42,106,03,CHEST,5:30,CHEST FLY,36,LITTLE THING GONE WILD
43,106,03,CHEST,5:30,CHEST PRESS,61,LITTLE THING GONE WILD
44,106,03,CHEST,5:30,PUSHUP,25,LITTLE THING GONE WILD
45,106,04,BACK,5:39,CLEAN AND PRESS,24,SAY LESS
46,106,04,BACK,5:39,DEADLIFT,8,SAY LESS
47,106,04,BACK,5:39,DEADROW,12,SAY LESS
48,106,04,BACK,5:39,PLATE DEADROW,62,SAY LESS
49,106,04,BACK,5:39,POWER PRESS,8,SAY LESS
50,106,05,TRICEPS,4:59,TRICEPS DIP,22,TELL ME YOU LOVE ME
51,106,05,TRICEPS,4:59,TRICEPS OVERHEAD EXTENSION,73,TELL ME YOU LOVE ME
52,106,05,TRICEPS,4:59,TRICEPS PUSHUP,22,TELL ME YOU LOVE ME
53,106,06,BICEPS,5:10,BICEPS PLATE CURL,44,WALK ON WATER
54,106,06,BICEPS,5:10,BICEPS PLATE ROW,16,WALK ON WATER
